OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt,SalePrice
7,1710,2,548,856,856,2,2003,208500
6,1262,2,460,1262,1262,2,1976,181500
7,1786,2,608,920,920,2,2001,223500
7,1717,3,642,756,961,1,1915,140000
8,2198,3,836,1145,1145,2,2000,250000
5,1362,2,480,796,796,1,1993,143000
8,1694,2,636,1686,1694,2,2004,307000
7,2090,2,484,1107,1107,2,1973,200000
7,1774,2,468,952,1022,2,1931,129900
5,1077,1,205,991,1077,1,1939,118000
5,1040,1,384,1040,1040,1,1965,129500
9,2324,3,736,1175,1182,3,2005,345000
5,912,1,352,912,912,1,1962,144000
7,1494,3,840,1494,1494,2,2006,279500
6,1253,1,352,1253,1253,1,1960,157000
7,854,2,576,832,854,1,1929,132000
6,1004,2,480,1004,1004,1,1970,149000
4,1296,2,516,0,1296,2,1967,90000
5,1114,2,576,1114,1114,1,2004,159000
5,1339,1,294,1029,1339,1,1958,139000
8,2376,3,853,1158,1158,3,2005,325300
7,1108,1,280,637,1108,1,1930,139400
8,1795,2,534,1777,1795,2,2002,230000
5,1060,2,572,1040,1060,1,1976,129900
5,1060,1,270,1060,1060,1,1968,154000
8,1600,3,890,1566,1600,2,2007,256300
5,900,2,576,900,900,1,1951,134800
8,1704,3,772,1704,1704,2,2007,306000
5,1600,1,319,1484,1600,1,1957,207500
4,520,1,240,520,520,1,1927,68500
4,1317,1,250,649,649,1,1920,40000
5,1228,1,271,1228,1228,1,1966,149350
8,1234,2,484,1234,1234,2,2007,179900
5,1700,2,447,1398,1700,1,1959,165500
9,1561,2,556,1561,1561,2,2005,277500
8,2452,3,691,1117,1132,3,2004,309000
5,1097,2,672,1097,1097,1,1994,145000
5,1297,2,498,1297,1297,1,1954,153000
5,1057,1,246,1057,1057,1,1953,109000
4,1152,0,0,0,1152,2,1955,82000
6,1324,2,440,1088,1324,2,1965,160000
5,1328,1,308,1350,1328,1,1959,170000
5,884,2,504,840,884,1,1983,144000
5,938,1,308,938,938,1,1975,130250
5,1150,1,300,1150,1150,1,1959,141000
9,1752,2,576,1752,1752,2,2005,319900
7,2149,2,670,1434,1518,1,2003,239686
8,1656,3,826,1656,1656,2,2006,249700
4,1452,0,0,736,736,2,1920,113000
5,955,1,386,955,955,1,1966,127000
6,1470,2,388,794,794,2,1997,177000
6,1176,2,528,816,816,1,1934,114500
5,816,2,516,816,816,1,1963,110000
9,1842,3,894,1842,1842,0,1981,385000
5,1360,2,572,384,1360,1,1955,130000
6,1425,2,576,1425,1425,2,1964,180500
8,1739,2,480,970,983,2,1999,172500
7,1720,2,565,860,860,2,2004,196500
10,2945,3,641,1410,1426,3,2006,438780
5,780,1,352,780,780,1,1972,124900
6,1158,2,576,1158,1158,1,2004,158000
5,1111,1,288,530,581,1,1920,101000
8,1370,2,484,1370,1370,2,2006,202500
7,1710,2,480,576,902,2,1921,140000
7,2034,2,645,1057,1057,2,1997,219500
8,2473,3,852,1143,1143,2,2004,317000
7,2207,2,576,1947,2207,2,1970,180000
